 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 laundry detergent, pasta, vegetables, pork, yogurt, yogurt, flour, fruits, sandwich bags, sandwich bags, dishwashing liquid/detergent, flour, pork, ice cream
 lunch meat, sandwich bags, waffles, soap, vegetables, fruits, ,,,,,,,
 fruits, yogurt, cereals, toilet paper, dishwashing liquid/detergent, yogurt, waffles, beef, vegetables, sugar, cheeses, soda, eggs, laundry detergent
 ice cream, sandwich loaves, yogurt, cereals, fruits, pasta, ,,,,,,,
 ice cream, pasta, soap, waffles, fruits, soap, eggs, dishwashing liquid/detergent, aluminum foil, paper towels, vegetables, dishwashing liquid/detergent, vegetables, poultry
 ketchup, pasta, coffee/tea, shampoo, poultry, paper towels, vegetables, aluminum foil, butter, toilet paper, soap, all- purpose, flour, soda
 vegetables, soap, juice, dinner rolls, laundry detergent, aluminum foil, vegetables, bagels, pork, poultry, dishwashing liquid/detergent, tortillas, cereals, lunch meat
 individual meals, eggs, fruits, pasta, poultry, ketchup, beef, waffles, ketchup, pork, tortillas, beef, ,
 vegetables, yogurt, toilet paper, soda, milk, soap, sandwich bags, waffles, juice, soda, yogurt, cereals, soap, pork
 paper towels, tortillas, juice, yogurt, poultry, individual meals, lunch meat, milk, yogurt, coffee/tea, paper towels, individual meals, aluminum foil, paper towels
 toilet paper, yogurt, butter, ketchup, tortillas, toilet paper, ice cream, poultry, cheeses, individual meals, shampoo, coffee/tea, ,
 eggs, poultry, soap, soap, vegetables, cereals, toilet paper, tortillas, cereals, toilet paper, sandwich loaves, juice, all- purpose, all- purpose
 coffee/tea, fruits, milk, vegetables, waffles, vegetables, aluminum foil, sandwich loaves, ketchup, ,,,,
 eggs, sandwich loaves, yogurt, sandwich loaves, vegetables, mixes, mixes, poultry, sugar, spaghetti sauce, individual meals, milk, butter, cheeses
 aluminum foil, juice, flour, lunch meat, dinner rolls, yogurt, all- purpose, cereals, spaghetti sauce, mixes, cereals, butter, ketchup, vegetables
 soap, poultry, ketchup, juice, milk, dishwashing liquid/detergent, vegetables, ice cream, ,,,,,
 eggs, juice, tortillas, soda, fruits, paper towels, cheeses, beef, pork, sandwich loaves, sandwich bags, paper towels, aluminum foil, spaghetti sauce
 soda, beef, vegetables, pasta, yogurt, paper towels, toilet paper, individual meals, flour, juice, dinner rolls, hand soap, cheeses, spaghetti sauce
 tortillas, fruits, butter, butter, mixes, hand soap, cheeses, individual meals, tortillas, dishwashing liquid/detergent, sandwich bags, bagels, ,
 pork, hand soap, juice, vegetables, ketchup, toilet paper, mixes, mixes, mixes, flour, beef, pasta, ,
 tortillas, individual meals, paper towels, spaghetti sauce, bagels, milk, toilet paper, butter, eggs, ice cream, tortillas, ,,
 eggs, yogurt, pasta, beef, flour, vegetables, ketchup, individual meals, ,,,,,
 hand soap, paper towels, hand soap, lunch meat, toilet paper, milk, sandwich bags, individual meals, cereals, coffee/tea, lunch meat, ,,
 dishwashing liquid/detergent, soda, waffles, lunch meat, dishwashing liquid/detergent, pasta, butter, dinner rolls, toilet paper, mixes, pork, yogurt, bagels, 
 toilet paper, pasta, pasta, laundry detergent, vegetables, eggs, tortillas, juice, poultry, sugar, ,,,
 soap, sandwich bags, soap, vegetables, eggs, paper towels, pork, ketchup, tortillas, waffles, vegetables, pork, coffee/tea, ketchup
 poultry, pork, ketchup, all- purpose, lunch meat, ice cream, all- purpose, laundry detergent, ,,,,,
 spaghetti sauce, lunch meat, vegetables, waffles, butter, tortillas, mixes, ketchup, eggs, dinner rolls, juice, cheeses, toilet paper, toilet paper
 spaghetti sauce, laundry detergent, vegetables, fruits, vegetables, ketchup, spaghetti sauce, aluminum foil, coffee/tea, shampoo, dinner rolls, vegetables, pasta, vegetables
 vegetables, eggs, spaghetti sauce, bagels, mixes, butter, poultry, bagels, vegetables, waffles, sandwich bags, vegetables, aluminum foil, pork
 all- purpose, eggs, juice, spaghetti sauce, juice, shampoo, sugar, hand soap, waffles, butter, juice, butter, milk, dishwashing liquid/detergent
 milk, laundry detergent, sandwich loaves, waffles, eggs, bagels, ice cream, ice cream, coffee/tea, tortillas, sandwich bags, bagels, pasta, all- purpose
 spaghetti sauce, spaghetti sauce, laundry detergent, juice, poultry, soap, laundry detergent, bagels, all- purpose, bagels, hand soap, fruits, bagels, all- purpose
 vegetables, butter, pasta, fruits, all- purpose, dinner rolls, sandwich loaves, ,,,,,,
 milk, toilet paper, eggs, pasta, flour, pasta, sandwich bags, individual meals, yogurt, lunch meat, bagels, milk, milk, aluminum foil
 individual meals, milk, paper towels, flour, lunch meat, paper towels, soap, dishwashing liquid/detergent, all- purpose, bagels, ketchup, butter, tortillas, pork
 sandwich bags, ice cream, mixes, paper towels, pasta, juice, poultry, dishwashing liquid/detergent, hand soap, sugar, individual meals, tortillas, pasta, shampoo
 lunch meat, soda, vegetables, sugar, toilet paper, sandwich bags, cereals, flour, ketchup, paper towels, all- purpose, pork, coffee/tea, milk
 waffles, milk, spaghetti sauce, juice, soap, sugar, eggs, flour, butter, juice, laundry detergent, vegetables, soap, cereals
 flour, vegetables, aluminum foil, toilet paper, cheeses, toilet paper, milk, butter, mixes, dinner rolls, laundry detergent, ice cream, laundry detergent, paper towels
 paper towels, milk, flour, ice cream, waffles, sandwich bags, mixes, dishwashing liquid/detergent, beef, coffee/tea, ketchup, mixes, paper towels, beef
 yogurt, juice, soda, ketchup, soda, ice cream, aluminum foil, vegetables, ice cream, coffee/tea, vegetables, juice, vegetables, soda
 pork, toilet paper, ketchup, milk, sandwich bags, paper towels, juice, sugar, sugar, ketchup, dishwashing liquid/detergent, spaghetti sauce, hand soap, flour
 soap, vegetables, dishwashing liquid/detergent, vegetables, fruits, soap, sandwich bags, ,,,,,,
 poultry, dishwashing liquid/detergent, poultry, vegetables, yogurt, milk, waffles, sugar, dishwashing liquid/detergent, dinner rolls, all- purpose, all- purpose, yogurt, sugar
 dinner rolls, vegetables, yogurt, laundry detergent, fruits, shampoo, dinner rolls, butter, sandwich loaves, coffee/tea, paper towels, cereals, paper towels, tortillas
 paper towels, beef, all- purpose, sugar, individual meals, hand soap, toilet paper, coffee/tea, laundry detergent, soda, waffles, beef, fruits, pasta
 vegetables, bagels, shampoo, beef, laundry detergent, bagels, sandwich bags, aluminum foil, bagels, paper towels, beef, poultry, ice cream, toilet paper
 toilet paper, waffles, milk, pasta, ice cream, aluminum foil, mixes, cheeses, ketchup, soda, aluminum foil, eggs, aluminum foil, pasta
 vegetables, sugar, soda, coffee/tea, sandwich loaves, yogurt, juice, vegetables, ice cream, juice, beef, tortillas, tortillas, aluminum foil
 beef, toilet paper, cheeses, soda, hand soap, ketchup, vegetables, paper towels, waffles, toilet paper, eggs, sandwich loaves, ,
 soap, eggs, bagels, mixes, toilet paper, all- purpose, vegetables, laundry detergent, laundry detergent, beef, yogurt, vegetables, milk, cheeses
 sandwich bags, hand soap, soap, shampoo, butter, ketchup, mixes, ketchup, shampoo, lunch meat, dinner rolls, mixes, tortillas, all- purpose
 shampoo, juice, vegetables, paper towels, vegetables, yogurt, soda, laundry detergent, all- purpose, shampoo, eggs, cereals, vegetables, vegetables
 shampoo, milk, ketchup, individual meals, aluminum foil, poultry, tortillas, cheeses, aluminum foil, paper towels, soap, vegetables, ketchup, sandwich loaves
 poultry, milk, beef, toilet paper, milk, dishwashing liquid/detergent, sandwich bags, laundry detergent, bagels, aluminum foil, tortillas, poultry, soda, laundry detergent
 cereals, coffee/tea, soap, sugar, beef, waffles, cheeses, pork, ,,,,,
 yogurt, ice cream, vegetables, toilet paper, all- purpose, bagels, ketchup, laundry detergent, milk, eggs, tortillas, ,,
 soap, waffles, soda, dishwashing liquid/detergent, flour, pork, laundry detergent, yogurt, cheeses, coffee/tea, aluminum foil, vegetables, toilet paper, yogurt
 all- purpose, sandwich loaves, yogurt, waffles, butter, lunch meat, poultry, sugar, ketchup, ,,,,
 poultry, butter, bagels, cheeses, all- purpose, bagels, vegetables, dinner rolls, individual meals, yogurt, lunch meat, poultry, dinner rolls, eggs
 sandwich loaves, shampoo, poultry, paper towels, dinner rolls, aluminum foil, tortillas, tortillas, vegetables, sugar, hand soap, ,,
 vegetables, dishwashing liquid/detergent, eggs, toilet paper, all- purpose, all- purpose, waffles, ,,,,,,
 sandwich loaves, soap, yogurt, milk, sandwich bags, poultry, dinner rolls, beef, sandwich loaves, ice cream, soap, spaghetti sauce, juice, dishwashing liquid/detergent
 dinner rolls, vegetables, all- purpose, eggs, tortillas, coffee/tea, cheeses, dishwashing liquid/detergent, poultry, poultry, dishwashing liquid/detergent, milk, cheeses, vegetables
 lunch meat, cereals, dinner rolls, fruits, toilet paper, lunch meat, eggs, ice cream, individual meals, eggs, paper towels, vegetables, mixes, poultry
 laundry detergent, pork, dishwashing liquid/detergent, individual meals, fruits, individual meals, eggs, eggs, shampoo, all- purpose, hand soap, poultry, yogurt, bagels
 butter, coffee/tea, tortillas, dishwashing liquid/detergent, sandwich bags, lunch meat, lunch meat, bagels, shampoo, bagels, yogurt, butter, yogurt, fruits
 sugar, bagels, bagels, butter, shampoo, toilet paper, sandwich loaves, lunch meat, soap, sandwich loaves, paper towels, beef, ,
 butter, shampoo, sugar, toilet paper, flour, fruits, sandwich bags, sandwich bags, soap, laundry detergent, soda, ketchup, milk, shampoo
 paper towels, poultry, yogurt, coffee/tea, pork, cheeses, cereals, cheeses, milk, coffee/tea, ketchup, vegetables, lunch meat, milk
 fruits, cheeses, paper towels, vegetables, spaghetti sauce, sugar, bagels, pork, yogurt, ,,,,
 all- purpose, soda, waffles, milk, pasta, milk, fruits, vegetables, lunch meat, vegetables, ,,,
 soda, ice cream, flour, pasta, soda, vegetables, flour, vegetables, dishwashing liquid/detergent, coffee/tea, laundry detergent, vegetables, laundry detergent, soap
 eggs, all- purpose, soda, bagels, ketchup, ice cream, soda, aluminum foil, laundry detergent, pork, soap, eggs, sandwich bags, eggs
 laundry detergent, soda, hand soap, ice cream, dishwashing liquid/detergent, butter, sugar, ,,,,,,
 sandwich bags, mixes, pork, vegetables, milk, beef, all- purpose, laundry detergent, shampoo, pork, mixes, cheeses, ,
 all- purpose, butter, coffee/tea, fruits, milk, toilet paper, yogurt, laundry detergent, beef, waffles, butter, dinner rolls, shampoo, flour
 bagels, fruits, individual meals, beef, ice cream, tortillas, waffles, laundry detergent, mixes, vegetables, flour, vegetables, soap, milk
 waffles, cheeses, mixes, hand soap, fruits, individual meals, flour, spaghetti sauce, spaghetti sauce, paper towels, poultry, poultry, cereals, sandwich bags
 all- purpose, eggs, dishwashing liquid/detergent, all- purpose, vegetables, aluminum foil, paper towels, sandwich loaves, coffee/tea, juice, coffee/tea, spaghetti sauce, bagels, bagels
 shampoo, vegetables, flour, ice cream, sandwich loaves, dinner rolls, vegetables, vegetables, fruits, fruits, fruits, butter, poultry, flour
 pork, paper towels, bagels, lunch meat, ice cream, cheeses, dishwashing liquid/detergent, bagels, coffee/tea, waffles, hand soap, milk, spaghetti sauce, flour
 milk, sandwich loaves, yogurt, dinner rolls, eggs, cereals, hand soap, hand soap, individual meals, hand soap, juice, pasta, tortillas, dishwashing liquid/detergent
 cereals, butter, aluminum foil, bagels, vegetables, poultry, toilet paper, ketchup, cheeses, sandwich bags, cheeses, laundry detergent, laundry detergent, vegetables
 spaghetti sauce, ketchup, coffee/tea, eggs, dinner rolls, vegetables, soda, ketchup, waffles, flour, dinner rolls, eggs, cheeses, laundry detergent
 spaghetti sauce, mixes, butter, bagels, mixes, waffles, laundry detergent, vegetables, juice, waffles, butter, vegetables, spaghetti sauce, paper towels
 dishwashing liquid/detergent, poultry, vegetables, ketchup, vegetables, lunch meat, individual meals, butter, sandwich bags, beef, sandwich loaves, pasta, sandwich bags, dishwashing liquid/detergent
 hand soap, butter, dishwashing liquid/detergent, flour, milk, poultry, vegetables, all- purpose, ,,,,,
 soda, vegetables, eggs, sandwich bags, fruits, vegetables, fruits, spaghetti sauce, waffles, dishwashing liquid/detergent, aluminum foil, bagels, mixes, 
 lunch meat, sandwich loaves, all- purpose, bagels, sandwich loaves, tortillas, poultry, laundry detergent, poultry, milk, ,,,
 spaghetti sauce, sugar, ketchup, cereals, pasta, cereals, soap, dinner rolls, eggs, ,,,,
 vegetables, sandwich bags, all- purpose, soap, juice, mixes, flour, fruits, dishwashing liquid/detergent, mixes, pasta, cheeses, vegetables, waffles
 bagels, beef, laundry detergent, flour, ,,,,,,,,,
 toilet paper, pork, coffee/tea, ice cream, lunch meat, all- purpose, ice cream, hand soap, toilet paper, waffles, individual meals, vegetables, shampoo, coffee/tea
 soda, milk, individual meals, cereals, ,,,,,,,,,
 butter, juice, pork, beef, poultry, shampoo, milk, ,,,,,,
 sandwich loaves, vegetables, pork, sugar, individual meals, waffles, milk, yogurt, pasta, hand soap, paper towels, ketchup, beef, cheeses
 coffee/tea, hand soap, ketchup, all- purpose, juice, mixes, fruits, yogurt, individual meals, vegetables, coffee/tea, juice, coffee/tea, pork
 lunch meat, dishwashing liquid/detergent, lunch meat, laundry detergent, dinner rolls, sugar, aluminum foil, tortillas, toilet paper, individual meals, aluminum foil, coffee/tea, aluminum foil, yogurt
 poultry, vegetables, dinner rolls, bagels, soap, hand soap, soda, coffee/tea, soap, all- purpose, eggs, mixes, laundry detergent, shampoo
 sandwich loaves, vegetables, poultry, butter, spaghetti sauce, spaghetti sauce, all- purpose, vegetables, sugar, mixes, cheeses, pasta, vegetables, cheeses
 yogurt, waffles, juice, sugar, vegetables, sandwich loaves, toilet paper, individual meals, lunch meat, vegetables, yogurt, vegetables, poultry, dishwashing liquid/detergent
 poultry, beef, mixes, cheeses, vegetables, lunch meat, cereals, dinner rolls, eggs, juice, beef, aluminum foil, toilet paper, sugar
 dinner rolls, flour, paper towels, juice, sugar, coffee/tea, vegetables, vegetables, coffee/tea, flour, lunch meat, waffles, vegetables, all- purpose
 sugar, tortillas, waffles, cheeses, flour, beef, sandwich bags, sandwich loaves, soap, tortillas, pasta, all- purpose, ketchup, vegetables
 sandwich loaves, waffles, vegetables, bagels, poultry, dishwashing liquid/detergent, soda, sugar, lunch meat, dishwashing liquid/detergent, sugar, soap, aluminum foil, vegetables
 sandwich loaves, dinner rolls, butter, milk, vegetables, waffles, mixes, vegetables, juice, hand soap, flour, toilet paper, vegetables, spaghetti sauce
 pasta, vegetables, poultry, bagels, vegetables, vegetables, sandwich loaves, flour, butter, soap, sandwich loaves, vegetables, spaghetti sauce, poultry
 sandwich loaves, waffles, sandwich loaves, pork, paper towels, bagels, tortillas, lunch meat, ice cream, dinner rolls, pork, cereals, hand soap, spaghetti sauce
 beef, soda, dinner rolls, vegetables, all- purpose, sugar, hand soap, all- purpose, beef, mixes, eggs, yogurt, mixes, dinner rolls
 soda, dishwashing liquid/detergent, dinner rolls, cheeses, milk, vegetables, vegetables, cheeses, aluminum foil, cheeses, aluminum foil, eggs, yogurt, coffee/tea
